2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007e, value=0x016400c609db 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1007f, value=0x016400c609ec 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10080, value=0x016400c609fd 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10081, value=0x016400c60a0e 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10082, value=0x016400c60a1f 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10083, value=0x016400c60a30 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10084, value=0x016400c60a41 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10085, value=0x016400c60a52 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10086, value=0x016400c60a63 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10087, value=0x016400c60a74 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10088, value=0x016400c60a85 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10089, value=0x016400c60a96 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008a, value=0x016400c60aa7 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008b, value=0x016400c60ab8 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008c, value=0x016400c60ac9 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008d, value=0x016400c60ada 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008e, value=0x016400c60aeb 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1008f, value=0x016400c60afc 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10090, value=0x016400c60b0d 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10091, value=0x016400c60b1e 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10092, value=0x016400c60b2f 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10093, value=0x016400c60b40 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10094, value=0x016400c60b51 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10095, value=0x016400c60b62 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10096, value=0x016400c60b73 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10097, value=0x016400c60b84 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10098, value=0x016400c60b95 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x10099, value=0x016400c60ba6 
2024-12-17 20:08:58,751 - INFO - [dedr] tik=0, x=0, y=2, relay_link=0x00, addr=0x1009a, value=0x016400c60bb7 
